world_name,countries_name
AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIA
ALGERIA,ALGERIA
ANGOLA,ANGOLA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BANGLADESH,BANGLADESH
BELARUS,BELARUS
BELGIUM,BELGIUM
BELIZE,BELIZE
BENIN,BENIN
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA AND HERZ.,BOSNIA AND HERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRAZIL
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
Cֳ”TE D'IVOIRE,COTE D'IVOIRE
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CENTRAL AFRICAN REP.,CENTRAL AFRICAN REPUBLIC
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
COLOMBIA,COLOMBIA
CONGO,THE CONGO
COSTA RICA,COSTA RICA
CROATIA,CROATIA
CUBA,CUBA
CYPRUS,CYPRUS
CZECHIA,CZECH REPUBLIC
DEM. REP. CONGO,DEMOCRATIC REPUBLIC OF CONGO
DENMARK,DENMARK
DJIBOUTI,DJIBOUTI
DOMINICAN REP.,DOMINICAN REPUBLIC
ECUADOR,ECUADOR
EGYPT,EGYPT
EL SALVADOR,EL SALVADOR
EQ. GUINEA,EQUATORIAL GUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ESWATINI,ESWATINI
ETHIOPIA,ETHIOPIA
FALKLAND IS.,ARGENTINA
FIJI,FIJI
FINLAND,FINLAND
FRANCE,FRANCE
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANY
GHANA,GHANA
GREECE,GREECE
GREENLAND,DENMARK
GUATEMALA,GUATEMALA
GUINEA,GUINEA
GUINEA-BISSAU,GUINEA-BISSAU
GUYANA,GUAYANA
HAITI,HAITI
HONDURAS,HONDURAS
HUNGARY,HUNGARY
ICELAND,ICELAND
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ISRAEL,ISRAEL
ITALY,ITALY
JAMAICA,JAMAICA
JAPAN,JAPAN
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAOS,LAOS
LATVIA,LATVIA
LEBANON,LEBANON
LESOTHO,LESOTHO
LIBERIA,LIBERIA
LIBYA,LIBYA
LITHUANIA,LITHUANIA
LUXEMBOURG,LUXEMBOURG
MACEDONIA,MACEDONIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MALAYSIA,MALASYA
MALI,MALI
MAURITANIA,MAURITANIA
MEXICO,MEXICO
MOLDOVA,MOLDOVA
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
MYANMAR,MYANMAR
N. CYPRUS,CYPRUS
NAMIBIA,NAMIBIA
NEPAL,NEPAL
NETHERLANDS,NETHERLANDS
NEW CALEDONIA,FRANCE
NEW ZEALAND,NEW ZEALAND
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NORWAY,NORWAY
OMAN,OMAN
PAKISTAN,PAKISTAN
PALESTINE,PALESTINE
PANAMA,PANAMA
PAPUA NEW GUINEA,PAPUA-NEW GUINEA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINES,PHILIPPINES
POLAND,POLAND
PORTUGAL,PORTUGAL
PUERTO RICO,PUERTO RICO
QATAR,QATAR
ROMANIA,ROMANIA
RUSSIA,RUSSIA
RWANDA,RWANDA
S. SUDAN,SOUTH SUDAN
SAUDI ARABIA,SAUDI ARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SIERRA LEONE,SIERRA LEONE
SLOVAKIA,SLOVAKIA
SLOVENIA,SLOVENIA
SOLOMON IS.,SOLOMON ISLANDS
SOUTH AFRICA,SOUTH AFRICA
SOUTH KOREA,KOREA
SPAIN,SPAIN
SRI LANKA,SRI LANKA
SUDAN,SUDAN
SURINAME,SURINAME
SWEDEN,SWEDEN
SWITZERLAND,SWITZERLAND
SYRIA,SYRIA
TAIWAN,TAIWAN
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIA
THAILAND,THAILAND
TIMOR-LESTE,TIMOR-LESTE
TOGO,TOGO
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO
TUNISIA,TUNISIA
TURKEY,TURKEY
UGANDA,UGANDA
UKRAINE,UKRAINE
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES
UNITED KINGDOM,UNITED KINGDOM
UNITED STATES OF AMERICA,UNITED STATES
URUGUAY,URUGUAY
UZBEKISTAN,UZBEKISTAN
VANUATU,VANUATU
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
YEMEN,YEMEN
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
